"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"060190034",1,5865,5865
"060190035",1,5734,5734
"060190036",1,4062,4062
"060190037",1,8668,8668
"060190038",0.508543686998529,42529,83629
"060190040",0.476476893758933,16002,33584
"060190042",0.756110453558255,65799,87023
"060190043",0.498881515174111,13381,26822
"060190044",0.853453377293093,20191,23658
"060190045",0.5,18753,37506
"060190046",0.405607338363663,5483,13518
"060190047",1,16396,16396
"060190048",1,9642,9642
"060190049",0.5,6252,12504
"060190050",0.5,4200,8400
"060190051",1,6032,6032
"060190052",0.636923708799671,12406,19478
"060190053",1,20584,20584
"060190054",1,24836,24836
"060190055",0.759464763603925,85136,112100
"060190056",1,18920,18920
"060190057",1,19628,19628
"060190058",0.540435108777194,25214,46655
"060190059",0.408797080672488,31367,76730
"060190060",0.622874713613891,10331,16586
"060190061",0.691825011047282,7828,11315
"060190062",0.338478581979321,9166,27080
"060190063",0.164697500445289,2774,16843
"060190065",0.450482195845697,9716,21568
"060190066",0.668012853916971,15383,23028
"060190067",0.498599635905335,7121,14282
"060190068",0.256683033278778,2823,10998
"060190070",0.471759603787626,18384,38969
"060190071",0.314212472684485,7477,23796
"060190072",0.456715210355987,12419,27192
"060190073",0.00701040253279059,62,8844
"060190078",0.415469088937093,6129,14752
"060190079",0.113960717818285,1613,14154
"060190080",1,4918,4918
"060190081",1,6518,6518
"060190083",0.468984369524077,13382,28534
"060190084",0.545710944486483,7933,14537
"060190085",0.582068759639783,11699,20099
"060190086",0.113636363636364,1815,15972
"060210101",0.459512195121951,8478,18450
"060210102",0.0633514529226226,944,14901
"060210103",0,0,6606
"060210104",0.534038054968287,7578,14190
"060230001",1,4752,4752
"060230002",1,6020,6020
"060230003",0.5,5520,11040
"060230004",0.481585365853659,3949,8200
"060230005",0.499448428019857,3622,7252
"060230006",1,4977,4977
"060230007",0.492721979621543,5416,10992
"060230008",0.476273623664749,4637,9736
"060230009",0.297145076713925,3060,10298
"060230010",1,6150,6150
"060230011",0.48980464850991,6870,14026
"060230012",0.401089282240809,4124,10282
"060230013",0.407536636427076,1168,2866
"060230104",0.367724174095438,2805,7628
"060230105",0.660758807588076,12191,18450
"060230107",0.389596295760382,5385,13822
"060230108",0.29826883910387,2929,9820
"060230109",0.309466984884646,5446,17598
"060230110",0.476648648648649,4409,9250
"060250103",0,0,1604
"060250104",0.712460711750989,7027,9863
"060250105",0.5,6714,13428
"060250106",0.497119599248591,7939,15970
"060250107",0.486950986632718,4590,9426
"060250108",0.148033924441018,192,1297
"060250109",0.471497735436514,6038,12806
"060250110",0.479554373971389,15152,31596
"060250112",0.616460755813954,13572,22016
"060250113",0.521350422006877,8339,15995
"060250114",0.985478105451296,4411,4476
"060250115",1,6059,6059
"060250116",1,6615,6615
"060250117",1,5046,5046
"060250118",0.703619594939055,15182,21577
"060250119",0.53986013986014,10422,19305
"060250120",1,13618,13618
"060250121",1,7018,7018
"060250122",1,7433,7433
"060259400",0.233506300963677,1260,5396
"060270001",0.479952429493714,2825,5886
"060270002",0,0,3396
"060270003",0.930355791067373,2458,2642
"060270004",0.494647790055249,5730,11584
"060290001",0.863408649422349,16890,19562
"060290002",1,8246,8246
"060290003",1,4630,4630
"060290004",0.5,4757,9514
"060290005",0.555130808744475,23235,41855
"060290006",1,7708,7708
"060290007",0.5,5431,10862
"060290008",1,5600,5600
"060290009",0.563426326738942,43603,77389
"060290010",0.67220740132704,9827,14619
"060290011",1,16822,16822
"060290012",0.5,8991,17982
"060290013",0.5,7727,15454
"060290014",0.333333333333333,7838,23514
"060290015",0.5,2944,5888
"060290016",1,2510,2510
"060290017",1,4299,4299
"060290018",1,11412,11412
"060290019",0.691040738383195,8685,12568
"060290020",1,7736,7736
"060290021",1,3504,3504
"060290022",1,6514,6514
"060290023",0.571140307609524,12737,22301
"060290024",0.533502155909931,7795,14611
"060290025",0.67416690401595,9468,14044
"060290026",0.5,3439,6878
"060290027",0.398466917697687,5926,14872
"060290028",0.863403570383377,70806,82008
"060290029",1,7501,7501
"060290030",0.5,7435,14870
"060290031",0.771384370769859,71802,93082
"060290032",0.633749603691831,71961,113548
