"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"120310164",0.25,5656,22624
"120310165",0.5,5319,10638
"120310166",0.5,15801,31602
"120310167",0.5,42598,85196
"120310168",0.589128038392589,52909,89809
"120310171",0.363631325167655,6561,18043
"120310172",0.5,2662,5324
"120310173",0.0461853024896765,1152,24943
"120310174",0.5,2825,5650
"120330001",0.5,2306,4612
"120330003",0.478333026000369,2594,5423
"120330004",0.350246652572234,3479,9933
"120330005",0.5,1480,2960
"120330006",0.5,1954,3908
"120330008",0.500750075007501,5007,9999
"120330009",0.5,2616,5232
"120330010",0.597597398287648,9004,15067
"120330011",0.393177596986423,15030,38227
"120330012",0.390536502698122,8757,22423
"120330013",0.5,4165,8330
"120330014",0.407320820252488,12196,29942
"120330015",0.394618834080717,1232,3122
"120330016",0.484734513274336,2191,4520
"120330017",0.333333333333333,3125,9375
"120330018",0.40625,1872,4608
"120330019",0.440888177635527,2204,4999
"120330020",0.415839447561502,1927,4634
"120330021",0.481158577932772,4967,10323
"120330022",0.5,3660,7320
"120330023",0.5,4861,9722
"120330024",0.998734634851771,5525,5532
"120330025",1,2939,2939
"120330026",0.507249336328364,22356,44073
"120330027",0.45582423956785,12573,27583
"120330028",0.484666757530326,14224,29348
"120330029",0.5,4199,8398
"120330030",0.5,7472,14944
"120330031",0.5,5104,10208
"120330032",0.472511367479614,12574,26611
"120330033",0.47392585035133,28800,60769
"120330034",0.5,6376,12752
"120330035",0.395043907133406,29556,74817
"120330036",0.386828715343771,45387,117331
"120330037",0.452933151432469,5644,12461
"120350601",0.530310962202911,20260,38204
"120350602",0.449735952281448,71025,157926
"120350603",0.44827890037594,15263,34048
"120390205",0.199560801537195,2908,14572
"120390207",0.261513463324048,5633,21540
"120430001",0.250765045902754,1475,5882
"120430002",0.0435784621831133,624,14319
"120499701",0.071623713687278,1573,21962
"120499702",0.007705549635216,94,12199
"120499703",0.206378175880121,4297,20821
"120499704",0.242627940896696,3826,15769
"120510001",0.486758114898818,7168,14726
"120510002",0.405669808626107,5681,14004
"120510003",0.116661981446528,2905,24901
"120510004",0.32169659608684,9602,29848
"120530402",0.0397976642118575,1070,26886
"120530403",0.0407459348823106,1075,26383
"120530404",0.481047765793528,3122,6490
"120530405",0.307762183767089,6776,22017
"120530406",0.140995499429032,2099,14887
"120530407",0.465824269567072,8737,18756
"120530408",0.64682690120555,8531,13189
"120530409",0.469774533264673,46526,99039
"120530410",0.737309739821549,19667,26674
"120530411",0.546776359973136,16283,29780
"120530412",0.588277684362239,12245,20815
"120530413",0.456918927171866,8978,19649
"120530414",0.5,12374,24748
"120530415",0.164945151733526,4120,24978
"120530416",0.345175866040578,3896,11287
"120559601",0.366170590848512,6594,18008
"120559602",0.421967287596547,3715,8804
"120559603",0.5,4334,8668
"120559604",0.605310209190059,6771,11186
"120559605",0.456986176168171,8000,17506
"120559606",0.537568441190052,8149,15159
"120559607",0.48612831310379,3925,8074
"120559608",0.5,2617,5234
"120559609",0.398579321231255,2525,6335
"120559610",0,0,9116
"120559611",0.5,3937,7874
"120559612",0.35920540651239,3508,9766
"120559613",0.404314732243391,8977,22203
"120559614",0.342859624739402,3947,11512
"120559615",0.257585013235594,3795,14733
"120559616",0.439187308655719,6312,14372
"120559617",0.378447298828863,4007,10588
"120570001",1,10824,10824
"120570002",0.629663782096751,8877,14098
"120570003",0.599841646872526,7576,12630
"120570004",0.393530997304582,5110,12985
"120570005",0.5,4034,8068
"120570006",0.536022212479906,7336,13686
"120570007",0.643198650042186,6861,10667
"120570008",0.5,3506,7012
"120570009",1,7448,7448
"120570010",0.5,9052,18104
"120570011",0.5,2347,4694
"120570012",0.5,2886,5772
"120570013",0.333406884377758,6044,18128
"120570014",1,4620,4620
"120570015",0.5,2541,5082
"120570016",0.353067814854682,2296,6503
"120570017",0.5,4216,8432
"120570018",0.5,4754,9508
"120570019",0.5,3017,6034
"120570020",1,2781,2781
"120570021",0.5,2537,5074
"120570022",0.5,1699,3398
"120570023",1,2853,2853
"120570024",1,3918,3918
"120570025",0.5,6743,13486
"120570026",1,1706,1706
"120570027",0.5,6915,13830
"120570028",1,2924,2924
"120570029",0.5,1832,3664
"120570030",0.5,2801,5602
"120570031",0.5,2803,5606
"120570032",1,2367,2367
"120570033",1,2496,2496
"120570034",0.5,3156,6312
"120570035",0.5,2684,5368
"120570036",0.5,4497,8994
"120570037",1,1894,1894
"120570038",0.5,1025,2050
"120570041",1,1612,1612
"120570042",0.5,1664,3328
"120570043",1,821,821
"120570044",1,2205,2205
"120570045",0.5,4102,8204
"120570046",1,5745,5745
"120570047",0.5,2584,5168
"120570048",0.5,4121,8242
"120570049",0.636595310907238,4996,7848
"120570050",0.5,7602,15204
"120570051",0.482928721871189,8713,18042
"120570053",0.592855169873861,6439,10861
"120570054",0.5,5609,11218
"120570055",0.5,2690,5380
"120570057",0.5,4157,8314
"120570058",0.5,4964,9928
"120570059",0.5,6443,12886
"120570060",0.5,5876,11752
"120570061",1,7229,7229
"120570062",1,4281,4281
"120570063",1,4297,4297
"120570064",0.5,4146,8292
"120570065",0.539455376664679,5428,10062
"120570066",1,4002,4002
"120570067",0.5,5730,11460
"120570068",0.706193482340897,8278,11722
"120570069",0.5,5573,11146
"120570070",1,7643,7643
"120570071",0.66618601297765,7392,11096
"120570072",0.992950851772078,5071,5107
"120570073",0.882321618743344,1657,1878
"120570101",0.195567412271701,6671,34111
"120570102",0.429366084705623,46776,108942
"120570103",0.318791254125413,9273,29088
"120570104",0.5,12413,24826
"120570105",0.5,8676,17352
"120570106",0.5,3386,6772
"120570107",0.5,9074,18148
"120570108",0.490656534197085,55139,112378
"120570109",1,5853,5853
"120570110",0.433670458312111,53642,123693
"120570111",0.474255482973597,19094,40261
"120570112",0.563130485451036,15463,27459
"120570113",0.443561447779745,11777,26551
"120570114",0.489964981968327,56247,114798
"120570115",0.482059488927138,83740,173713
"120570116",0.509403987085533,59640,117078
"120570117",0.544201378483668,25424,46718
"120570118",0.586231818592465,19467,33207
"120570119",0.491000071145683,20704,42167
"120570120",0.386524015479171,6792,17572
"120570121",0.478554459956393,29411,61458
"120570122",0.470142138057964,42404,90194
"120570123",0.5,15147,30294
"120570124",0.287717418000759,12886,44787
"120570125",0.452595486803285,11352,25082
"120570126",0.5,5697,11394
"120570127",0.496946005375031,10170,20465
"120570128",0.5,4178,8356
"120570129",1,3215,3215
"120570130",0.317914286959934,14584,45874
"120570132",0.496956550981975,29555,59472
"120570133",0.543073570446376,67535,124357
"120570134",0.559476438264317,38384,68607
"120570135",0.398296292251406,14588,36626
"120570136",0.288318080442975,3749,13003
"120570137",0.38996720964671,29494,75632
"120570138",0.477252528672394,33831,70887
"120570139",0.380291484580305,103904,273222
"120570140",0.424455659013908,35830,84414
"120570141",0.40835210225471,50222,122987
"120570142",0.5,3838,7676
"120570144",0.348935864250791,4853,13908
"120579805",0,0,5
"120579806",1,25,25
"120579807",1,6,6
"120579900",NA,0,0
"120610501",0.5,6684,13368
"120610502",0.615406241214507,4378,7114
"120610503",0.646157678415743,10376,16058
"120610504",0.5,6146,12292
"120610505",0.525704537252715,16024,30481
"120610506",0.648582579234035,30246,46634
"120610507",0.432259327130073,24296,56207
"120610508",0.432232995864823,36375,84156
"120610509",0.255324704390317,13690,53618
"120619800",NA,0,0
"120632105",0.267499300960015,2870,10729
"120632106",0.182155603140614,2552,14010
"120632107",0.0139337641357027,138,9904
"120690301",0.0801560226759645,6391,79732
"120690302",0.363857534246575,33202,91250
"120690303",0.229031530635255,17266,75387
"120690304",0.3147447267633,27859,88513
"120690305",0.311194568294082,16821,54053
"120690306",0.373256132032461,8187,21934
"120690307",0.274135163209418,8709,31769
"120690308",0.329087048832272,19995,60759
"120690309",0.256144165868257,23794,92893
"120690310",0.093143596377749,2880,30920
"120690311",0.310172872340426,15861,51136
"120690312",0.183881680785793,26134,142124
"120690313",0.299772964451451,108007,360296
"120710003",0.533681944017225,10410,19506
"120710004",0.383873090138168,5251,13679
"120710005",0.466731423020884,10571,22649
"120710006",0.5,3999,7998
"120710007",0.5,2488,4976
"120710008",1,1838,1838
"120710009",0.444461397619774,2913,6554
"120710010",0.441737215224723,6418,14529
"120710011",0.41161057149311,9111,22135
"120710012",0.535611286712964,23215,43343
"120710013",0.339186388919184,3110,9169
"120710014",0.5,8613,17226
"120710015",0.5,8937,17874
"120710016",0.703456160408056,7999,11371
"120710017",0.515085855408774,22108,42921
"120710018",0.735347799634962,7252,9862
"120710019",0.62042999761491,36418,58698
"120710101",0.496038501833421,30302,61088
"120710102",0.429677692011286,34568,80451
"120710103",0.473639416662833,41182,86948
"120710104",0.48311732374296,71197,147370
"120710105",0.602616088947024,9214,15290
"120710106",0.619868491203128,6976,11254
"120710107",0.5,6808,13616
"120710108",0.569028261711189,7349,12915
"120710201",0.793324109304739,9174,11564
"120710202",0.181891240289312,1358,7466
"120710203",0.648024239363717,5133,7921
"120710204",0.319119375868334,2986,9357
"120710205",0.5,7146,14292
"120710206",0.409424657534247,3736,9125
"120710207",0.385804882286509,4441,11511
"120710208",0.508826843620884,4064,7987
"120710301",0.0836318545053734,607,7258
